
Nasi Pecel;Makanan Berat;420;11;20;52;10;"nasi;kangkung;kacang panjang;bayam;tauge";"bumbu pecel;rempeyek;tempe goreng";12000;35;mudah;Nasi dengan sayuran dan sambal pecel khas Madiun;"Rebus sayuran hingga layu, tiriskan. Buat bumbu pecel dari kacang tanah yang digoreng dan dihaluskan, campur bumbu lain. Sajikan nasi dengan sayuran, bumbu pecel, rempeyek, dan tempe goreng."
Tahu Campur;Makanan Ringan;280;16;12;28;5;"tahu;tauge;bihun;lontong";"kuah petis;kecap;bawang goreng;seledri";13000;30;mudah;Hidangan tahu dengan kuah petis khas Lamongan;"Rebus tauge dan bihun, tiriskan. Potong tahu dan lontong. Campur petis, air, gula, garam, bumbu lain, masak hingga mendidih. Sajikan tahu, lontong, bihun, tauge dengan kuah petis, taburi bawang goreng dan seledri."
Nasi Bogana;Makanan Berat;520;28;24;54;3;"nasi;ayam;santan;tempe;tahu";"telur;teri;sambal;kerupuk";20000;60;sedang;Nasi bungkus dengan lauk lengkap khas Tegal;"Tumis bumbu halus (bawang, kunyit, lengkuas, dll) hingga harum. Masukkan ayam, masak hingga kaku. Tambahkan santan dan beras, aduk rata. Masak seperti nasi biasa hingga matang. Sajikan dengan lauk seperti telur, teri, sambal, kerupuk."
Lodeh;Makanan Ringan;180;6;8;22;7;"labu siam;nangka muda;kacang panjang;santan";"tempe;tahu;daun salam;lengkuas";10000;35;mudah;Sayur lodeh santan khas Jawa;"Potong sayuran dan tempe/tahu. Didihkan air, masukkan sayuran dan tempe/tahu. Masukkan santan, daun salam, lengkuas. Bumbui garam, gula. Masak hingga sayur empuk."
Oseng Mercon;Makanan Ringan;240;18;14;18;5;"tempe;cabai;bawang merah;bawang putih";"pete;kecap;tomat";12000;20;mudah;Oseng tempe pedas khas Purwokerto;"Potong tempe dan goreng sebentar. Tumis bawang merah, bawang putih, cabai hingga harum. Masukkan tempe, aduk rata. Tambahkan pete, tomat, kecap, garam. Oseng hingga matang."
Sop Buntut;Makanan Berat;480;28;26;32;4;"buntut sapi;kentang;wortel;tomat";"bawang goreng;seledri;daun bawang";45000;150;sedang;Sup buntut sapi dengan sayuran;"Rebus buntut sapi hingga empuk, sisihkan air kaldunya. Tumis bawang putih, masukkan ke dalam kaldu. Masukkan buntut, kentang, wortel, masak hingga empuk. Tambahkan tomat, bumbui. Sajikan dengan taburan bawang goreng, seledri, daun bawang."
Nasi Goreng Jawa;Makanan Berat;520;16;18;72;4;"nasi;kecap manis;bawang putih;cabai";"telur;ayam;sawi;krupuk";15000;25;mudah;Nasi goreng manis khas Jawa dengan kecap;"Tumis bawang putih dan cabai hingga harum. Masukkan nasi, aduk rata. Tambahkan kecap manis, garam, gula, aduk. Masukkan sayur atau ayam, aduk hingga rata. Sajikan dengan telur mata sapi, sawi, krupuk."
Tempe Mendoan;Makanan Ringan;180;10;8;18;6;"tempe;tepung terigu;daun bawang;ketumbar";"cabai;kecap;bawang putih";8000;20;mudah;Tempe tipis goreng tepung khas Purwokerto;"Iris tipis tempe. Campur tepung terigu, daun bawang, ketumbar, garam, air hingga menjadi adonan encer. Celupkan tempe ke adonan. Goreng hingga matang dan lembut (mendoan). Sajikan dengan sambal cabai, kecap, bawang putih."
Soto Kudus;Makanan Berat;370;25;16;32;3;"ayam;tauco;bawang putih;jeruk nipis";"koya;telur;jeroan;kerupuk";18000;60;mudah;Soto ayam khas Kudus dengan tauco;"Rebus ayam hingga matang, suwir-suwir. Sisihkan air kaldu. Tumis bawang putih dan tauco hingga harum, masukkan ke kaldu. Bumbui dengan garam, gula. Sajikan kuah dengan ayam, telur, jeroan, taburi koya. Tambahkan jeruk nipis, kerupuk."
Pecel Lele;Makanan Berat;420;28;22;32;8;"lele;kangkung;kol;lalapan";"sambal;tempe goreng;tahu goreng";18000;30;mudah;Lele goreng dengan lalapan dan sambal;"Bersihkan lele, lumuri dengan jeruk nipis dan garam. Goreng lele hingga matang dan kering. Rebus atau sajikan sayur kangkung, kol sebagai lalapan. Sajikan lele dengan sambal, tempe goreng, tahu goreng, dan lalapan."
Garang Asem;Makanan Berat;340;32;15;22;4;"ayam;tomat;asam jawa;cabai;daun salam";"kecap;bawang merah;bawang putih";22000;50;sedang;Ayam masak asam pedas khas Semarang dibungkus daun pisang;"Potong ayam, tumis bawang merah, bawang putih, cabai hingga harum. Masukkan ayam, tomat, asam jawa, kecap, daun salam. Tambahkan sedikit air. Bungkus dengan daun pisang. Kukus atau bakar hingga matang."
Jenang;Makanan Ringan;280;4;2;64;2;"tepung ketan;gula merah;santan;daun pandan";"kelapa parut;garam";8000;90;sedang;Bubur ketan manis khas Jawa;"Campur tepung ketan, gula merah, santan, daun pandan, dan sedikit garam. Aduk rata hingga kental dan meletup-letup. Angkat dan sajikan hangat. Taburi dengan kelapa parut."
Lontong Kupang;Makanan Berat;350;20;10;48;5;"lontong;kupang;tauge;lentho";"petis;kecap;sambal;jeruk nipis";15000;40;mudah;Lontong dengan kupang dan bumbu petis khas Surabaya;"Rebus kupang hingga matang, tiriskan. Potong lontong, goreng lentho. Campur petis, kecap, air, cabai untuk membuat kuah. Sajikan lontong dengan kupang, tauge, lentho, siram dengan kuah petis. Tambahkan sambal, jeruk nipis."
Tahu Gimbal;Makanan Ringan;260;14;12;26;4;"tahu;udang;kol;telur";"bumbu kacang;kecap;cabai";14000;30;sedang;Tahu dan gimbal udang dengan sambal kacang khas Semarang;"Potong tahu dan goreng. Buat gimbal dari adonan udang dan bumbu, goreng hingga kering. Rebus telur, iris kol. Campur bumbu kacang, kecap, cabai. Sajikan tahu, gimbal, kol, telur dengan bumbu."
Sate Buntel;Makanan Berat;380;32;20;18;3;"daging sapi cincang;lemak sapi;bawang putih";"kecap;cabai;jeruk nipis";28000;45;sedang;Sate daging cincang dibungkus lemak khas Solo;"Campur daging cincang dengan bawang putih, garam, merica. Bungkus campuran daging dengan lemak sapi, tusuk dengan sate. Bakar sate hingga matang sambil diolesi bumbu kecap. Sajikan dengan sambal, cabai, jeruk nipis."
Kupat Tahu;Makanan Ringan;320;12;10;46;6;"ketupat;tahu;tauge;kol";"bumbu kacang;kecap;kerupuk";12000;30;mudah;Ketupat dengan tahu dan sambal kacang khas Magelang;"Potong ketupat dan goreng tahu. Rebus tauge. Iris kol. Campur bumbu kacang dan kecap. Sajikan ketupat, tahu, tauge, kol dengan bumbu kacang dan kerupuk."
Wedang Ronde;Minuman;180;3;4;34;2;"tepung ketan;kacang tanah;jahe;gula merah";"kolang kaling;roti;kacang hijau";8000;40;mudah;Minuman hangat dengan bola ketan isi kacang;"Buat bola-bola ronde dari tepung ketan dan air. Isi dengan kacang tanah. Didihkan air jahe dan gula merah. Masukkan ronde, masak hingga mengapung. Sajikan hangat dengan kolang-kaling, roti, atau kacang hijau."
Dawet Ayu;Minuman;220;2;8;42;3;"dawet;santan;gula merah;es batu";"tape ketan;kolang kaling";7000;30;mudah;Minuman segar cendol dengan santan dan gula merah khas Banjarnegara;"Siapkan dawet (cendol). Larutkan gula merah dengan sedikit air, masak hingga kental. Dalam mangkuk, campurkan dawet, santan, gula merah cair, es batu. Tambahkan tape ketan dan kolang-kaling jika suka."
